Date,lat,lon,Primary Type
2014-09-07 11:25:00,41.910354363,-87.69428302,HOMICIDE
2014-09-06 22:35:00,41.812563413,-87.60841069,HOMICIDE
2014-09-06 21:51:00,41.7613482,-87.67329528,HOMICIDE
2014-09-06 04:30:00,41.85933009,-87.71780053,HOMICIDE
2014-09-06 04:11:00,41.896046062,-87.66208121,HOMICIDE
2014-09-05 17:11:00,41.779797193,-87.74003929,HOMICIDE
2014-09-05 00:00:00,41.987317545,-87.78537453,HOMICIDE
2014-09-04 21:29:00,41.737434842,-87.60134942,HOMICIDE
2014-09-04 13:55:00,41.722018207,-87.56573991,HOMICIDE
2014-09-04 00:00:00,41.89615266,-87.76801715,HOMICIDE
2014-09-02 15:15:00,41.844953963,-87.73198743,HOMICIDE
2014-09-02 00:00:00,41.881707291,-87.76309157,HOMICIDE
2014-08-31 22:20:00,42.017470382,-87.684258,HOMICIDE
2014-08-31 05:34:00,41.844313646,-87.7281582,HOMICIDE
2014-08-30 23:48:00,41.916147959,-87.72055793,HOMICIDE
2014-08-30 05:41:00,41.694797884,-87.65202893,HOMICIDE
2014-08-29 23:52:00,41.794869362,-87.67418365,HOMICIDE
2014-08-27 23:45:00,41.856300525,-87.69420475,HOMICIDE
2014-08-27 12:40:00,41.967383896,-87.72081361,HOMICIDE
2014-08-27 05:30:00,41.790192643,-87.66555188,HOMICIDE
2014-08-26 01:23:00,41.771736368,-87.63855702,HOMICIDE
2014-08-25 08:57:00,41.801831215,-87.67315872,HOMICIDE
2014-08-25 01:09:00,41.74961188,-87.60100588,HOMICIDE
2014-08-24 15:56:00,41.901178799,-87.75344490,HOMICIDE
2014-08-24 06:24:00,41.852393244,-87.69925389,HOMICIDE
2014-08-24 03:43:00,41.742212681,-87.64394300,HOMICIDE
2014-08-24 03:29:00,41.802367156,-87.64661412,HOMICIDE
2014-08-24 02:15:00,41.9039931,-87.7521043,HOMICIDE
2014-08-22 01:00:00,41.761363156,-87.67207824,HOMICIDE
2014-08-21 00:32:00,41.651998726,-87.61708196,HOMICIDE
2014-08-20 16:03:00,41.765891437,-87.59420809,HOMICIDE
2014-08-19 23:50:00,41.837098032,-87.64926672,HOMICIDE
2014-08-19 23:19:00,41.714344202,-87.56232609,HOMICIDE
2014-08-19 04:34:00,41.751280693,-87.67209744,HOMICIDE
2014-08-19 00:14:00,41.870688272,-87.71570159,HOMICIDE
2014-08-17 22:26:00,41.705317313,-87.63427743,HOMICIDE
2014-08-17 01:57:00,41.897692561,-87.72876380,HOMICIDE
2014-08-17 00:40:00,41.923222449,-87.72414276,HOMICIDE
2014-08-17 00:40:00,41.923222449,-87.72414276,HOMICIDE
2014-08-16 00:46:00,41.761556993,-87.66196729,HOMICIDE
2014-08-15 23:55:00,41.830596208,-87.62160738,HOMICIDE
2014-08-14 22:42:00,41.758055178,-87.55657299,HOMICIDE
2014-08-13 00:05:00,41.725980251,-87.59836565,HOMICIDE
2014-08-12 02:46:00,41.682696266,-87.63255279,HOMICIDE
2014-08-11 19:49:00,41.763543891,-87.64573069,HOMICIDE
2014-08-10 22:20:00,41.786196045,-87.66209897,HOMICIDE
2014-08-06 07:50:00,41.795050462,-87.66232930,HOMICIDE
2014-08-05 16:30:00,41.76222071,-87.64933687,HOMICIDE
2014-08-04 21:03:00,41.755288044,-87.67556002,HOMICIDE
2014-08-04 16:34:00,41.792692893,-87.64375438,HOMICIDE
2014-08-04 07:24:00,41.759867603,-87.70235006,HOMICIDE
2014-08-03 21:53:00,41.689511791,-87.65148060,HOMICIDE
2014-08-03 19:57:00,41.877141574,-87.72993426,HOMICIDE
2014-08-03 09:08:00,41.762410292,-87.65585922,HOMICIDE
2014-08-03 04:15:00,41.898486893,-87.637390,HOMICIDE
2014-08-02 03:30:00,41.909797141,-87.72456066,HOMICIDE
2014-08-02 00:18:00,41.848183301,-87.69327256,HOMICIDE
2014-08-01 03:40:00,41.771842821,-87.57386001,HOMICIDE
2014-07-31 09:23:00,41.903400998,-87.73093237,HOMICIDE
2014-07-29 22:33:00,41.877710245,-87.68619591,HOMICIDE
2014-07-25 17:56:00,41.87182869,-87.69589691,HOMICIDE
2014-07-24 03:53:00,41.682464832,-87.62080039,HOMICIDE
2014-07-23 21:40:00,41.770322608,-87.68447203,HOMICIDE
2014-07-22 10:16:00,41.779466319,-87.69569420,HOMICIDE
2014-07-21 22:24:00,41.977009363,-87.65657941,HOMICIDE
2014-07-20 02:35:00,41.811943986,-87.70397779,HOMICIDE
2014-07-19 20:21:00,41.897335594,-87.77252829,HOMICIDE
2014-07-19 19:10:00,41.816418412,-87.62367931,HOMICIDE
2014-07-19 07:33:00,41.876096728,-87.72331637,HOMICIDE
2014-07-19 03:55:00,41.881788892,-87.75526172,HOMICIDE
2014-07-14 15:30:00,41.932081584,-87.73789146,HOMICIDE
2014-07-14 00:43:00,41.763218218,-87.66259509,HOMICIDE
2014-07-13 16:00:00,41.769372004,-87.66136894,HOMICIDE
2014-07-12 15:58:00,41.99824833,-87.66529408,HOMICIDE
