Zipcode,Date,Avg2Bd,Avg2BdNorm,Total_Crimes,Thefts,Assaults,Homicides,Distance_from_Chicago_Loop,Commute_Time,Population,Cluster
60647,2011-04-30 00:00:00,283806.2,0.8928033292061768,0.027183821635907227,0.030038667009991138,0.024676596997104408,0.012681381404052188,26088.864460110275,30.7,87291.0,2
60647,2011-05-31 00:00:00,287216.75,0.8961933345497343,0.02698966010552376,0.02957437701314207,0.02485457759294896,0.014399064894112122,26088.864460110275,30.7,87291.0,2
60647,2011-06-30 00:00:00,284429.25,0.898765787353211,0.02698179583499033,0.029185994365686526,0.02523821805926201,0.013083534732234312,26088.864460110275,30.7,87291.0,2
60647,2011-07-31 00:00:00,280656.2,0.9014383986398461,0.026860223130719882,0.02930114887119733,0.02504534987912803,0.011901623398363169,26088.864460110275,30.7,87291.0,2
60647,2011-08-31 00:00:00,281371.5,0.9029971803567474,0.026835668880271873,0.02915423483874044,0.02534654927861203,0.010837479705037121,26088.864460110275,30.7,87291.0,2
60647,2011-09-30 00:00:00,272356.75,0.9024135409934755,0.02677606572915328,0.029201918392941614,0.025428312365752527,0.011890653529754417,26088.864460110275,30.7,87291.0,2
60647,2011-10-31 00:00:00,270743.6,0.9018538464024811,0.0265413090397608,0.028858795598168927,0.024922115290677265,0.013041976906363746,26088.864460110275,30.7,87291.0,2
60647,2011-11-30 00:00:00,266048.25,0.8996098602112661,0.02631810274962136,0.028771860525349538,0.024910278481579746,0.011905463025747593,26088.864460110275,30.7,87291.0,2
60647,2011-12-31 00:00:00,261719.6,0.8972970026228778,0.02603077986695427,0.028726770213527538,0.024286143911552472,0.01087534598312135,26088.864460110275,30.7,87291.0,2
60647,2012-01-31 00:00:00,262097.75,0.8947510872545316,0.02598870378311299,0.028718933609397174,0.024458007302459624,0.012328344000024683,26088.864460110275,30.7,87291.0,2
60647,2012-02-29 00:00:00,263289.0,0.8929352436571847,0.025967147302775804,0.0286908832395857,0.024793958400674068,0.011274835117661355,26088.864460110275,30.7,87291.0,2
60647,2012-03-31 00:00:00,256486.6,0.8901365707050554,0.025822690157114823,0.02848563333084413,0.02436708578735425,0.012441345830364128,26088.864460110275,30.7,87291.0,2
60647,2012-04-30 00:00:00,253902.0,0.885972141388503,0.025969186292751908,0.028499568024215327,0.024503008006392487,0.01138919863652871,26088.864460110275,30.7,87291.0,2
60647,2012-05-31 00:00:00,254699.0,0.8808158912665149,0.025892306966625558,0.028264982084327147,0.024856216382916626,0.01234368302738931,26088.864460110275,30.7,87291.0,2
60647,2012-06-30 00:00:00,244756.4,0.8767899981719641,0.025774749215474308,0.02804508748785297,0.024602850322186096,0.011308872102616526,26088.864460110275,30.7,87291.0,2
60647,2012-07-31 00:00:00,240992.75,0.8751094217999659,0.02589839506008303,0.028421986382743132,0.024614981784416394,0.012262458283540488,26088.864460110275,30.7,87291.0,2
60647,2012-08-31 00:00:00,242159.25,0.8725187157332921,0.025879167298074695,0.028257921572709285,0.02409974634611518,0.011241967320030737,26088.864460110275,30.7,87291.0,2
60647,2012-09-30 00:00:00,243283.0,0.8704714137536872,0.025816534090706472,0.028365343931984283,0.023632720253848948,0.01196847745301477,26088.864460110275,30.7,87291.0,2
60647,2012-10-31 00:00:00,249707.0,0.8695324495312016,0.025723266667243245,0.028471210463714047,0.023715679205919188,0.012455524776999051,26088.864460110275,30.7,87291.0,2
60647,2012-11-30 00:00:00,262850.25,0.8715819832928728,0.025637798282104614,0.028196391952763404,0.023705878657617745,0.01142812072229396,26088.864460110275,30.7,87291.0,2
60647,2012-12-31 00:00:00,267233.6,0.875033846148419,0.02564619585663327,0.02791377762685004,0.02391939045434187,0.01048780038165526,26088.864460110275,30.7,87291.0,2
60647,2013-01-31 00:00:00,246801.5,0.8729610500205573,0.025699009412495557,0.028031215532481495,0.024557725431342162,0.009626814941600937,26088.864460110275,30.7,87291.0,2
60647,2013-02-28 00:00:00,245457.25,0.8719784048709942,0.025648247653096857,0.02805938460463253,0.024246394793357072,0.008838162671120937,26088.864460110275,30.7,87291.0,2
60647,2013-03-31 00:00:00,242808.6,0.8674733544569563,0.025375952144004146,0.02769610436547471,0.02388609046460272,0.017654788425123254,26088.864460110275,30.7,87291.0,2
60647,2013-04-30 00:00:00,269520.5,0.8695548915474474,0.025273701996782666,0.027616493011878938,0.024112087567897608,0.0202948427017129,26088.864460110275,30.7,87291.0,2
