in,Zipcode,date,close
214,60604,2010-11-30 00:00:00,523624.0
215,60604,2010-12-31 00:00:00,499450.0
216,60604,2011-01-31 00:00:00,540805.6
217,60604,2011-02-28 00:00:00,654946.5
218,60604,2011-03-31 00:00:00,534298.25
219,60604,2011-04-30 00:00:00,502588.6
220,60604,2011-05-31 00:00:00,632997.0
221,60604,2011-06-30 00:00:00,646464.25
222,60604,2011-07-31 00:00:00,510804.0
223,60604,2011-08-31 00:00:00,511556.75
224,60604,2011-09-30 00:00:00,493893.0
225,60604,2011-10-31 00:00:00,470327.0
226,60604,2011-11-30 00:00:00,422896.5
227,60604,2011-12-31 00:00:00,418062.4
228,60604,2012-01-31 00:00:00,425974.0
229,60604,2012-02-29 00:00:00,420831.25
230,60604,2012-03-31 00:00:00,403531.6
231,60604,2012-04-30 00:00:00,402614.25
232,60604,2012-05-31 00:00:00,297923.25
233,60604,2012-06-30 00:00:00,326400.2
234,60604,2012-07-31 00:00:00,337000.0
235,60604,2012-08-31 00:00:00,248428.5
236,60604,2012-09-30 00:00:00,307685.8
237,60604,2012-10-31 00:00:00,337000.0
238,60604,2012-11-30 00:00:00,354341.25
239,60604,2012-12-31 00:00:00,748405.8
240,60604,2013-01-31 00:00:00,849900.0
241,60604,2013-02-28 00:00:00,761362.5
242,60604,2013-03-31 00:00:00,835388.6
243,60604,2013-04-30 00:00:00,683351.0
244,60604,2013-05-31 00:00:00,664802.75
245,60604,2013-06-30 00:00:00,682164.8
246,60604,2013-07-31 00:00:00,685030.5
247,60604,2013-08-31 00:00:00,709526.8
248,60604,2013-09-30 00:00:00,676624.25
249,60604,2013-10-31 00:00:00,674990.75
250,60604,2013-11-30 00:00:00,652681.6
251,60604,2013-12-31 00:00:00,652365.0
252,60604,2014-01-31 00:00:00,657970.75
253,60604,2014-02-28 00:00:00,601468.75
254,60604,2014-03-31 00:00:00,577120.8
255,60604,2014-04-30 00:00:00,562138.25
256,60604,2014-05-31 00:00:00,554080.4
257,60604,2014-06-30 00:00:00,560588.75
258,60604,2014-07-31 00:00:00,554829.5
